variable,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
const,151.34560453986043,2.901838608256062,52.15507303172027,7.380184597109131e-165,145.6379066640754,157.05330241564548
age,37.904021350075205,69.05567520145674,0.5488907499564296,0.5834385909128157,-97.92328811395137,173.73133081410177
sex,-241.9643623127402,68.56961755414925,-3.5287401467809207,0.0004746112663209915,-376.8356330111535,-107.09309161432688
bmi,542.4287585162897,76.95588958985874,7.048567190986914,1.0033193246808915e-11,391.0623226671373,693.7951943654421
bp,347.7038439138558,71.35679324746883,4.8727504150586185,1.6867485017373013e-06,207.3504086529686,488.057279174743
s1,-931.4888458835151,451.13835438675727,-2.064752058489262,0.03969988132318937,-1818.8439936482441,-44.13369811878613
s2,518.062276983336,364.11381120207403,1.4228031484799253,0.1557047163228219,-198.12215202977666,1234.2467059964488
s3,163.41998299130995,233.01408063771564,0.7013309347832554,0.4835734461037575,-294.901154958942,621.7411209415619
s4,275.3179015786485,185.39972504021037,1.4849962777395502,0.13846593212436573,-89.34938686820846,639.9851900255055
s5,736.1988589046828,192.43731773842407,3.8256553747302906,0.00015501668374777022,357.68915593485724,1114.7085618745082
s6,48.670657431965,73.4354552641185,0.6627678313822084,0.5079256742412384,-95.77134937909418,193.11266424302417
